"param_set_id","th_ROS_microbe","th_ROS_epith_recover","epith_recovery_chance","rat_com_pat_threshold","diffusion_speed_DAMPs","diffusion_speed_SAMPs","diffusion_speed_ROS","add_ROS","add_DAMPs","add_SAMPs","ros_decay","DAMPs_decay","SAMPs_decay","activation_threshold_DAMPs","activation_threshold_SAMPs","activity_engulf_M0_baseline","activity_engulf_M1_baseline","activity_engulf_M2_baseline","activity_ROS_M1_baseline","rate_leak_commensal_injury","rate_leak_pathogen_injury","rate_leak_commensal_baseline","active_age_limit","treg_discrimination_efficiency"
0,0.33136458936914,0.232725167662254,0.0160886566699176,0.640935941205085,0.108695658096139,0.00125556167733548,0.100644835156897,0.718132626810871,0.539024980950173,0.512498532804096,0.451234033548996,0.306468946437218,0.159284499714528,0.340440820641986,0.668846537078878,0.117170408362815,0.0835374143042534,0.32649126427065,0.460501659668389,0.816995028039765,0.721112028518649,0.0507501490540411,30,0.773135146418934
1,0.565561408562829,0.0606890351932657,0.420548404448752,0.54994428943075,0.0596136287688806,0.0202156674893811,0.114502207815605,0.767984566441167,0.285052017286222,0.163842633778931,0.537153294657132,0.178773168450132,0.303329075357952,0.928000796512614,0.424369243532552,0.132124918683417,0.216395762619146,0.0723045875865297,0.310823005385278,0.58360566020662,0.592139611621875,0.161158116489644,29,0.0488316818233837
2,0.835053391728308,0.759583597875605,0.0738957143471149,0.541526800065619,0.0958261500259513,0.0726891036706693,0.0830975590544916,0.745622465618801,0.741652638139999,0.885702572020455,0.0366287474518105,0.0509508488491265,0.776388872178149,0.753528104901406,0.141383707026272,0.210377635768456,0.305969079066696,0.0774150971221006,0.00441315523697886,0.933051382186956,0.707946060096603,0.0442130668894486,19,0.885100286214613
3,0.591959863001206,0.752693613580617,0.0264893979640342,0.615129560015758,0.0763474576778815,0.0860898406758701,0.0222615754560386,0.0182188800352554,0.220264856424068,0.906197055683507,0.452758622545512,0.209364443367596,0.635142798922991,0.39228780450518,0.237103078228957,0.270375456302787,0.161304363783129,0.0416266052732889,0.132888308475117,0.675935781213811,0.807299879755422,0.22036171296622,30,0.39717246619002
4,0.364699901916985,0.687064385227413,0.646852071351601,0.635803854511745,0.0977140367046095,0.0248104362745411,0.117356795526681,0.224646882470599,0.408570950663366,1,0.0925822309581875,0.377140713975639,0.207459922976447,0.465100521263785,0.384544747040597,0.215003801158106,0.262654735587905,0.382030859127098,0.1930621248032,0.947887274988604,0.594452349347857,0.0524004812518208,23,0.0595288922143107
5,0.466967032921615,0.436765250572281,0.229271701465574,0.647013885720886,0.0986215026990878,0.0757794971241302,0.0844220928294197,0.624003546784995,0.826096323229017,0.818070169802608,0.882093303427364,0.315801054518265,0.425599055410336,0.580673886349944,0.760331977034507,0.351682595258548,0.209800917155359,0.23037536411381,0.344547556530643,0.558075335441004,0.5,0.0205545052998861,16,0.319308917181625
6,0.926427558377384,0.00300918187131125,0.721144932184755,0.660701138992417,0.0903537168255928,0.091630832473166,0.103090563318698,0.796795431966016,0.7979967413966,0.131382495152048,0.895705378201458,0.102540319566113,0.333606387940191,0.138560175545927,0.600648717819453,0.145684168193203,0.181745991221199,0.328327912520999,0.428249295125043,0.746945325789909,0.52431948714564,0.0653445926701444,11,0.586816669626904
7,0.67770299378452,0.718873138516081,0.0361267415949708,0.603027815134498,0.0858922136571882,0.0842529037365164,0.00979765327493122,0.0849236571101807,0.263349383849632,0.839212385559703,0.521542904579609,0.203588281334606,0.771162657362822,0.430151173471329,0.210398253500204,0.225204468151903,0.188209525287429,0.0105272841423924,0.125693734712807,0.651541620399281,0.771693311322471,0.231035591082431,29,0.518529743746063
8,0.226064472593946,0.318224159955057,0.620101690140656,0.714750604354826,0.0646623357999378,0.00999979327275656,0,0.87628788124335,0.328588655969574,0.62117431094656,0.236438248583599,0.614686397281182,0.281762094720101,0.0428324996259108,0.829773836955917,0.5,0.199627340717331,0.202229880415663,0.5,0.587610366850256,0.780331310735425,0.0283545405061637,18,0.568465144504498
9,0.214696143203121,0.204300782851992,0.778104664551973,0.878901425313302,0.0174519285403524,0.0675418056294118,0.0293193596025372,0.0325414620755788,0.690876813754927,0.536594795738697,0.0603549154176938,0.278176795812331,1,0.0764590529439842,0.791249330193504,0.225555810154267,0.344741983055626,0.486701371018586,0.41242150262031,0.707804275218745,0.77887964602052,0,5,0.846364191133592
10,0.648988063288447,0.737281874874601,0.354189768578315,0.826690414126728,0.0932664010239976,0.0830751141217416,0.0292000159261254,0.691721486811251,0.976154411696808,0.855337463946012,0.0332309234484753,0.505679164917164,0.947602587916775,0.57844782444992,0.144715382690948,0.302249676981179,0.245813790307645,0.0153819945395411,0.423122072771847,0.911758142993073,0.964557564824688,0.153167855515027,29,0.556276140285422
11,0.771637610563124,0.401374566677788,0.179863014149766,0.547329751445806,0.0536509185448145,0.0473741681559535,0.011019407040189,0.265527296952838,0.222961407087898,0.729669110487626,0.408220506476439,0.79427173570912,1,0.783596468085465,0.421038674252411,0.465610179413925,0.142979586299387,0.374851013140615,0.121432841617765,0.783941074585043,0.699499703091077,0.123625443774873,17,0.853991738707654
