"parameter","region_number","lower","upper","mean_effect","max_effect","edf","Ref.df","Chi.sq","p-value"
"th_ROS_microbe",1,0.06,0.21,0.591176559808583,0.645792507391937,7.90609217307712,9,85.2671902920528,0
"th_ROS_microbe",2,0.45,0.52,0.506877607591679,0.509949394049138,7.90609217307712,9,85.2671902920528,0
"th_ROS_microbe",3,0.76,1,0.562102247303368,0.743169818669885,7.90609217307712,9,85.2671902920528,0
"th_ROS_epith_recover",1,0,0.47,0.560271086457191,0.611666429051215,2.11253951977933,9,43.2217634416076,0
"epith_recovery_chance",1,0.08,0.57,0.573973050292912,0.658813176826928,7.22171774604461,9,81.8043094166079,0
"epith_recovery_chance",2,0.78,0.82,0.505227402926454,0.509236143503056,7.22171774604461,9,81.8043094166079,0
"rat_com_pat_threshold",1,0.52,0.68,0.52419467545673,0.537309063841637,3.78118765033125,9,20.7713202614833,0
"rat_com_pat_threshold",2,0.89,1,0.547040340288583,0.588684144076457,3.78118765033125,9,20.7713202614833,0
"diffusion_speed_DAMPs",1,0.02,0.04,0.536146799583692,0.556871720517537,6.43651541362596,9,42.9090988578999,0
"diffusion_speed_DAMPs",2,0.06,0.09,0.570144991720818,0.608870126030329,6.43651541362596,9,42.9090988578999,0
"diffusion_speed_SAMPs",1,0,0.03,0.5425803915002,0.590177483276447,2.45571327800009,9,14.6085310553374,0.001
"diffusion_speed_SAMPs",2,0.11,0.12,0.514198193793265,0.528810652075911,2.45571327800009,9,14.6085310553374,0.001
"diffusion_speed_ROS",1,0,0.02,0.510935538799681,0.516071169446894,8.00083714526874,9,50.74355741888,0
"diffusion_speed_ROS",2,0.03,0.06,0.552304927204855,0.58347321653266,8.00083714526874,9,50.74355741888,0
"diffusion_speed_ROS",3,0.07,0.09,0.55294430800025,0.587449788850448,8.00083714526874,9,50.74355741888,0
"diffusion_speed_ROS",4,0.12,0.12,0.58916829251629,0.662728581989537,8.00083714526874,9,50.74355741888,0
"add_ROS",1,0.02,0.21,0.531458761524925,0.549576612717664,6.25405217141362,9,19.0546923438447,0.003
"add_ROS",2,0.47,0.7,0.523384664477918,0.537583455611732,6.25405217141362,9,19.0546923438447,0.003
"add_ROS",3,0.8,0.94,0.525526581860936,0.54198038311114,6.25405217141362,9,19.0546923438447,0.003
"add_DAMPs",1,0,0.03,0.546726923663108,0.590695946311588,8.33484353134967,9,50.5841550482509,0
"add_DAMPs",2,0.17,0.29,0.549044722296037,0.577099594420114,8.33484353134967,9,50.5841550482509,0
"add_DAMPs",3,0.45,0.59,0.57118189012562,0.609689377386311,8.33484353134967,9,50.5841550482509,0
"add_DAMPs",4,0.73,0.87,0.570385188440523,0.611022515768905,8.33484353134967,9,50.5841550482509,0
"add_SAMPs",1,0.05,0.36,0.531122192247309,0.551715148065356,4.68798878048898,9,15.8539149677499,0.003
"add_SAMPs",2,0.66,0.88,0.51828466783467,0.527446539928464,4.68798878048898,9,15.8539149677499,0.003
"ros_decay",1,0,0.05,0.54019580927227,0.578598181553028,7.09957855533344,9,58.9618251252632,0
"ros_decay",2,0.23,0.42,0.555417791810521,0.588566694458861,7.09957855533344,9,58.9618251252632,0
"ros_decay",3,0.78,0.97,0.587041571796373,0.632580471021431,7.09957855533344,9,58.9618251252632,0
"DAMPs_decay",1,0,0.62,0.557990360359445,0.706389125969997,6.67105785695927,9,69.0135761488104,0
"DAMPs_decay",2,0.97,1,0.542708092458449,0.581823767965805,6.67105785695927,9,69.0135761488104,0
"SAMPs_decay",1,0.09,0.28,0.545332876876706,0.571735394917492,6.98318212927445,9,44.9012601648262,0
"SAMPs_decay",2,0.6,0.79,0.529194818527381,0.544674466036028,6.98318212927445,9,44.9012601648262,0
"SAMPs_decay",3,0.93,1,0.607531105759683,0.702950670210283,6.98318212927445,9,44.9012601648262,0
"activation_threshold_DAMPs",1,0,0.52,0.506118419196228,0.511973913181897,0.527615093042167,9,1.00235201883671,0.159
"activation_threshold_SAMPs",1,0,0.25,0.531510268348164,0.568417238541894,7.87990655846512,9,60.4778264381791,0
"activation_threshold_SAMPs",2,0.43,0.61,0.528848263034398,0.54644554313863,7.87990655846512,9,60.4778264381791,0
"activation_threshold_SAMPs",3,0.71,0.78,0.508755364349148,0.514012854400635,7.87990655846512,9,60.4778264381791,0
"activation_threshold_SAMPs",4,0.94,1,0.64085609980748,0.755904909610178,7.87990655846512,9,60.4778264381791,0
"activity_engulf_M0_baseline",1,0,0.11,0.623925266754486,0.670496626094127,6.82873472304522,9,86.4806010016203,0
"activity_engulf_M0_baseline",2,0.21,0.26,0.514783305855602,0.523034449546644,6.82873472304522,9,86.4806010016203,0
"activity_engulf_M0_baseline",3,0.36,0.42,0.519073896286763,0.530797119921103,6.82873472304522,9,86.4806010016203,0
"activity_engulf_M1_baseline",1,0.08,0.15,0.581714110470024,0.637467390943093,8.29259663782399,9,68.416715027354,0
"activity_engulf_M1_baseline",2,0.19,0.24,0.55150595256931,0.583025980810733,8.29259663782399,9,68.416715027354,0
"activity_engulf_M1_baseline",3,0.32,0.47,0.554575579329378,0.584940140963684,8.29259663782399,9,68.416715027354,0
"activity_engulf_M2_baseline",1,0,0.12,0.549585370291204,0.598840459976167,2.98024551968257,9,15.7046187040918,0.001
"activity_engulf_M2_baseline",2,0.32,0.35,0.500746199240725,0.501068489394994,2.98024551968257,9,15.7046187040918,0.001
"activity_ROS_M1_baseline",1,0.08,0.18,0.514541968204185,0.523531459513631,3.914971437812,9,13.398493838609,0.005
"activity_ROS_M1_baseline",2,0.35,0.5,0.526654326225348,0.574805091818,3.914971437812,9,13.398493838609,0.005
"rate_leak_commensal_injury",1,0.5,0.71,0.541428067950426,0.582109250998498,6.48009678168438,9,27.0597609606273,0
"rate_leak_commensal_injury",2,0.83,0.9,0.516445675454825,0.525772863582392,6.48009678168438,9,27.0597609606273,0
"rate_leak_pathogen_injury",1,0.53,0.81,0.540635950599763,0.566982876402602,2.85804676486698,9,28.5620767915449,0
"rate_leak_commensal_baseline",1,0,0,0.503835577358016,0.503835577358016,7.63450674849396,9,69.6872166211324,0
"rate_leak_commensal_baseline",2,0.05,0.06,0.503275697096577,0.505297063223688,7.63450674849396,9,69.6872166211324,0
"rate_leak_commensal_baseline",3,0.12,0.23,0.570082661848154,0.661845867236694,7.63450674849396,9,69.6872166211324,0
"active_age_limit",1,3,14.45,0.500012556247126,0.500025979064191,0.00271765974223025,9,0.000967138577120952,0.589
"treg_discrimination_efficiency",1,0.23,0.64,0.560379621593788,0.598161924896232,5.65266104555687,9,51.4028102047522,0
"treg_discrimination_efficiency",2,0.75,0.92,0.522032579566174,0.533377187130602,5.65266104555687,9,51.4028102047522,0
