"parameter","n_regions"
"diffusion_speed_ROS",4
"add_DAMPs",4
"activation_threshold_SAMPs",4
"th_ROS_microbe",3
"add_ROS",3
"ros_decay",3
"SAMPs_decay",3
"activity_engulf_M0_baseline",3
"activity_engulf_M1_baseline",3
"rate_leak_commensal_baseline",3
"epith_recovery_chance",2
"rat_com_pat_threshold",2
"diffusion_speed_DAMPs",2
"diffusion_speed_SAMPs",2
"add_SAMPs",2
"DAMPs_decay",2
"activity_engulf_M2_baseline",2
"activity_ROS_M1_baseline",2
"rate_leak_commensal_injury",2
"treg_discrimination_efficiency",2
"th_ROS_epith_recover",1
"activation_threshold_DAMPs",1
"rate_leak_pathogen_injury",1
"active_age_limit",1
