t,sterile,allow_tregs_to_do_their_job,allow_tregs_to_suppress_cognate,randomize_tregs,epithelial_healthy,epithelial_inj_1,epithelial_inj_2,epithelial_inj_3,epithelial_inj_4,epithelial_inj_5,phagocyte_M0,phagocyte_M1_L_0,phagocyte_M1_L_1,phagocyte_M1_L_2,phagocyte_M1_L_3,phagocyte_M1_L_4,phagocyte_M1_L_5,phagocyte_M2_L_0,phagocyte_M2_L_1,phagocyte_M2_L_2,phagocyte_M2_L_3,phagocyte_M2_L_4,phagocyte_M2_L_5,commensal,pathogen,treg_resting,treg_active,C_ROS,C_Mac,C_M1,C_M2,P_ROS,P_Mac,P_M1,P_M2
0,0,1,False,1,17,7,1,0,0,0,207,0,0,12,0,0,0,0,0,0,0,0,0,31,18,219,0,0,3,0,0,0,0,0,0
1,0,1,False,1,19,5,1,0,0,0,201,0,0,6,12,0,0,0,0,0,0,0,0,36,18,209,10,0,6,0,0,1,1,0,0
2,0,1,False,1,20,4,1,0,0,0,195,0,0,6,6,12,0,0,0,0,0,0,0,33,14,206,13,4,12,0,0,4,3,0,0
3,0,1,False,1,20,5,0,0,0,0,192,0,0,3,6,6,12,0,0,0,0,0,0,28,9,206,13,11,16,0,0,10,3,0,0
4,0,1,False,1,23,1,1,0,0,0,191,0,0,1,3,6,6,0,0,0,0,0,0,25,6,206,13,17,19,0,0,13,4,0,0
5,0,1,False,1,24,0,0,1,0,0,190,0,0,1,1,3,6,0,0,0,0,0,0,23,2,205,14,22,21,0,0,15,6,0,0
6,0,1,False,1,22,2,0,0,1,0,190,0,0,0,1,1,3,0,0,0,0,0,0,17,2,201,18,27,27,0,0,15,6,0,0
7,0,1,False,1,21,2,1,0,0,1,190,0,0,0,0,1,1,0,0,0,0,0,0,17,2,201,18,31,29,0,0,16,6,0,0
8,0,1,False,1,19,2,3,0,1,0,189,0,0,1,0,0,1,0,0,0,0,0,0,15,2,201,18,35,33,0,0,17,6,0,0
9,0,1,False,1,19,2,3,0,1,0,182,0,0,7,1,0,0,0,0,0,0,0,0,14,2,200,19,41,36,0,0,19,6,0,0
10,0,1,False,1,19,3,1,1,0,1,180,0,0,2,7,1,0,0,0,0,0,0,0,13,2,197,22,49,37,0,0,20,7,0,0
11,0,1,False,1,18,4,1,1,1,0,178,0,0,2,2,7,1,0,0,0,0,0,0,14,2,197,22,55,38,0,0,22,7,0,0
12,0,1,False,1,19,2,1,2,0,1,169,0,0,9,2,2,7,0,0,0,0,0,0,15,1,194,25,61,40,0,0,25,8,0,0
13,0,1,False,1,20,1,1,2,0,1,169,0,5,1,9,2,2,0,0,0,0,0,0,16,1,191,28,67,42,0,0,27,9,0,0
14,0,1,False,1,20,2,0,1,1,1,168,0,1,6,1,9,2,0,0,0,0,0,0,13,1,189,30,75,45,0,0,29,9,0,0
15,0,1,False,1,20,2,0,0,3,0,168,0,0,1,6,1,9,0,0,0,0,0,0,15,1,187,32,79,47,0,0,30,10,0,0
16,0,1,False,1,22,0,0,0,2,1,169,0,0,0,1,6,1,0,0,0,0,0,0,16,1,190,29,85,48,0,0,32,10,0,0
17,0,1,False,1,22,0,0,0,3,0,169,0,0,0,0,1,6,0,0,0,0,0,0,16,1,191,28,91,49,0,0,32,11,0,0
18,0,1,False,1,22,0,0,0,1,2,169,0,0,0,0,0,1,0,0,0,0,0,0,15,1,191,28,96,51,0,0,33,11,0,0
19,0,1,False,1,22,0,0,0,2,1,169,0,0,0,0,0,0,0,0,0,0,0,0,15,1,192,27,101,53,0,0,33,12,0,0
20,0,1,False,1,22,0,0,0,0,3,169,0,0,0,0,0,0,0,0,0,0,0,0,17,1,191,28,105,54,0,0,34,12,0,0
21,0,1,False,1,22,0,0,0,1,2,169,0,0,0,0,0,0,0,0,0,0,0,0,18,1,190,29,109,56,0,0,35,12,0,0
22,0,1,False,1,22,0,0,0,1,2,169,0,0,0,0,0,0,0,0,0,0,0,0,17,1,190,29,116,57,0,0,36,12,0,0
23,0,1,False,1,22,0,0,0,1,2,170,0,0,0,0,0,0,0,0,0,0,0,0,16,1,188,31,122,59,0,0,37,12,0,0
24,0,1,False,1,22,0,0,0,2,1,170,0,0,0,0,0,0,0,0,0,0,0,0,17,1,189,30,126,61,0,0,37,13,0,0
25,0,1,False,1,22,0,0,0,0,3,171,0,0,0,0,0,0,0,0,0,0,0,0,17,1,191,28,132,62,0,0,38,13,0,0
26,0,1,False,1,22,0,0,0,2,1,171,0,0,0,0,0,0,0,0,0,0,0,0,16,1,191,28,138,64,0,0,39,13,0,0
27,0,1,False,1,22,0,0,0,2,1,171,0,0,0,0,0,0,0,0,0,0,0,0,17,1,190,29,143,65,0,0,39,14,0,0
28,0,1,False,1,22,0,0,0,2,1,172,0,0,0,0,0,0,0,0,0,0,0,0,18,1,192,27,147,67,0,0,40,14,0,0
29,0,1,False,1,22,0,0,0,1,2,172,0,0,0,0,0,0,0,0,0,0,0,0,21,1,192,27,148,70,0,0,40,15,0,0
30,0,1,False,1,22,0,0,0,1,2,172,0,0,0,0,0,0,0,0,0,0,0,0,24,1,190,29,149,73,0,0,40,16,0,0
31,0,1,False,1,22,0,0,0,1,2,172,0,0,0,0,0,0,0,0,0,0,0,0,24,1,190,29,154,75,0,0,40,17,0,0
32,0,1,False,1,22,0,0,0,2,1,173,0,0,0,0,0,0,0,0,0,0,0,0,21,1,191,28,161,78,0,0,40,18,0,0
33,0,1,False,1,22,0,0,0,2,1,174,0,0,0,0,0,0,0,0,0,0,0,0,22,1,190,29,164,81,0,0,40,19,0,0
34,0,1,False,1,22,0,0,0,2,1,175,0,0,0,0,0,0,0,0,0,0,0,0,23,1,189,30,168,83,0,0,40,20,0,0
35,0,1,False,1,22,0,0,0,1,2,175,0,0,0,0,0,0,0,0,0,0,0,0,25,1,189,30,171,85,0,0,41,20,0,0
36,0,1,False,1,22,0,0,0,1,2,176,0,0,0,0,0,0,0,0,0,0,0,0,22,1,190,29,177,89,0,0,41,21,0,0
37,0,1,False,1,22,0,0,0,2,1,176,0,0,0,0,0,0,0,0,0,0,0,0,25,1,190,29,178,92,0,0,42,21,0,0
38,0,1,False,1,22,0,0,0,2,1,177,0,0,0,0,0,0,0,0,0,0,0,0,26,1,197,22,181,95,0,0,42,22,0,0
39,0,1,False,1,22,0,0,0,2,1,177,0,0,0,0,0,0,0,0,0,0,0,0,27,1,199,20,185,97,0,0,42,23,0,0
40,0,1,False,1,22,0,0,0,1,2,177,0,0,0,0,0,0,0,0,0,0,0,0,29,1,199,20,187,100,0,0,42,24,0,0
41,0,1,False,1,22,0,0,0,1,2,177,0,0,0,0,0,0,0,0,0,0,0,0,29,1,199,20,192,102,0,0,42,25,0,0
